Campaign_ID,Customer_ID,Campaign_Type,Campaign_Objective,Campaign_Cost_INR_x,Campaign_Duration_Days,Impressions,Clicks,Device_Type,Time_of_Day,CTR,Age,Gender,City_Tier,Marital_Status,Has_Kids,Annual_Income_INR,Customer_Tenure_Months,Loyalty_Tier,Purchase_Made,Purchase_Value_INR,Discount_Applied_Percent,Payment_Mode,Repeat_Purchase_30_Days,Net_Revenue_INR,Campaign_Cost_INR_y,ROI_INR,Income_Segment,Campaign_Date,Month,Month_Num
50001,11001,Instagram Ads,Conversion,1124,28,62072,2956,Mobile,Evening,0.0476221162520943,25,Male,Tier 2,Single,0,542740,31,Silver,0,10193,15,Debit Card,1,0.0,1124,-1124.0,3-6L,2023-01-01,Jan,1
50002,11002,Instagram Ads,Conversion,410,9,33366,4299,Desktop,Night,0.1288437331415213,46,Female,Tier 2,Single,1,2322028,70,Bronze,0,11987,15,Debit Card,0,0.0,410,-410.0,,2023-01-16,Jan,1
50003,11003,Email,Awareness,940,25,62749,6269,Mobile,Afternoon,0.0999059745972047,24,Male,Tier 2,Married,1,2077642,93,Silver,0,6275,15,Debit Card,1,0.0,940,-940.0,,2023-01-31,Jan,1
50004,11004,Email,Awareness,1925,5,98217,5162,Desktop,Morning,0.0525570929676125,40,Female,Tier 3,Married,0,2402285,53,Gold,0,18818,0,COD,0,0.0,1925,-1925.0,,2023-02-15,Feb,2
50005,11005,SMS,Conversion,1560,10,96326,7119,Desktop,Evening,0.0739052799867117,44,Female,Tier 1,Single,1,2846904,51,Silver,0,14176,15,Credit Card,0,0.0,1560,-1560.0,,2023-03-02,Mar,3
50006,11006,Google Ads,Conversion,1690,24,93673,2541,Mobile,Morning,0.0271262797177415,60,Male,Tier 2,Single,1,2781942,74,Bronze,0,21647,5,COD,1,0.0,1690,-1690.0,,2023-03-17,Mar,3
50007,11007,Influencer,Retention,919,10,34621,1870,Mobile,Afternoon,0.0540134600387048,49,Female,Tier 1,Married,1,1776758,16,Platinum,1,7578,20,UPI,1,6062.400000000001,919,5143.400000000001,>10L,2023-04-01,Apr,4
50008,11008,Email,Conversion,1443,7,61957,5449,Desktop,Morning,0.0879480930322643,35,Male,Tier 2,Single,0,2648668,66,Silver,0,863,5,COD,0,0.0,1443,-1443.0,,2023-04-16,Apr,4
50009,11009,Email,Conversion,1481,20,11079,2830,Mobile,Morning,0.2554382164455275,44,Male,Tier 2,Single,0,958215,23,Bronze,1,16154,10,COD,0,14538.6,1481,13057.6,6-10L,2023-05-01,May,5
50010,11010,SMS,Conversion,1167,14,54675,670,Mobile,Morning,0.0122542295381801,29,Female,Tier 1,Married,0,1099174,39,Silver,0,10888,20,Debit Card,0,0.0,1167,-1167.0,>10L,2023-05-16,May,5
50011,11011,Instagram Ads,Conversion,679,22,54179,5381,Mobile,Evening,0.0993189243064656,46,Female,Tier 3,Single,0,681686,59,Bronze,0,8212,10,Credit Card,1,0.0,679,-679.0,6-10L,2023-05-31,May,5
